f1-score,recall,precision,kappa,last_f1-score,last_recall,last_precision,last_kappa,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift
0.08,0.08,0.08,0.0408923870833224,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0687697821025923,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.09,0.09,0.0499060346627689,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.08,0.08,0.0416666666666666,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.08,0.08,0.041167274622199,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.09,0.09,0.0477187107576391,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.085,0.085,0.085,0.0447605376484406,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.06,0.06,0.0208078335373317,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.04,0.04,-0.0004168403501458,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045,0.045,0.045,0.0006801653324963,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045,0.045,0.045,0.0028713129731141,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.06,0.06,0.0207313261798104,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.075,0.075,0.075,0.0357301086758229,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.09,0.09,0.0478183530396567,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.095,0.095,0.095,0.0547562472256313,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.09,0.09,0.0519351982080533,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.1,0.061693642974431,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.14,0.14,0.1000418585182084,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.115,0.115,0.115,0.0759833990237791,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0726751758270382,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0723368772149261,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.12,0.12,0.0794016110471806,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.12,0.12,0.0812278137398205,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0726027040404303,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.105,0.105,0.105,0.0670037267728231,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0689889638579421,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.095,0.095,0.095,0.054731564654272,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.1,0.0622802219270141,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0721434528773977,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.14,0.14,0.1001124859392575,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.125,0.125,0.0864957978806701,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0726993305722696,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0720225217005967,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.125,0.125,0.0844646734154698,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.12,0.12,0.0813237289905,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0726993305722695,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.09,0.09,0.0512185585820408,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.09,0.09,0.0479179744716468,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.1,0.0606408516856279,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.1,0.062329070403459,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.11,0.0716353300127781,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.105,0.105,0.105,0.0672468148302545,0.11,0.11,0.11,0.0716353300127781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.1,0.0623779137908581,0.11,0.11,0.11,0.0716353300127781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.1,0.0597330686656045,0.11,0.11,0.11,0.0716353300127781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.1,0.0592908097938279,0.11,0.11,0.11,0.0716353300127781,0.08482130696783148,0.08743173842912545,0.08386381528834005,0.08544589730709962,0.08414653195964775,0.08554371766094956,0.04426910781984395,0.042746415294634355
0.085,0.085,0.085,0.0464776990412673,0.11,0.11,0.11,0.0716353300127781,0.08903446848525588,0.10680649232082112,0.08719249542937889,0.10446686245947231,0.08846760954642943,0.1082328307513742,0.045842484180883825,0.06551772086493483
0.065,0.065,0.065,0.0260416666666666,0.11,0.11,0.11,0.0716353300127781,0.06704071207906355,0.07644099614817752,0.06655930906262295,0.07708946587833425,0.06635739382143363,0.07866471329333427,0.028081764933152415,0.0345642603025755
0.055,0.055,0.055,0.0137758296806512,0.11,0.11,0.11,0.0716353300127781,0.07563287860703459,0.06245085124303571,0.07372058352704526,0.06523464024143606,0.0710599128016436,0.06360491125764325,0.03422455519796424,0.0212907474312447
0.045,0.045,0.045,0.0005494361738311,0.11,0.11,0.11,0.0716353300127781,0.0776520001340527,0.08358461338941912,0.07570362525550105,0.08378595025220535,0.07271009761623365,0.08336828073197164,0.03821503753753649,0.04381466688074583
0.04,0.04,0.04,-0.000573245088332,0.11,0.11,0.11,0.0716353300127781,0.07482200917552768,0.0684822449918761,0.07286833539950688,0.06902587345099527,0.06907726699231358,0.06728398315410354,0.035316907595248984,0.02554934203671064
0.04,0.04,0.04,0.0,0.11,0.11,0.11,0.0716353300127781,0.09594954924602812,0.0711545862700926,0.09523170750129754,0.070887299383061,0.08953061779052165,0.0698569954138658,0.05511785503249739,0.02665655069114742
0.04,0.04,0.04,-0.0012776720294125,0.11,0.11,0.11,0.0716353300127781,0.09563732574325691,0.0684822449918761,0.09548349154001443,0.06902587345099527,0.08950754193467447,0.06728398315410354,0.05452914010356451,0.02554934203671064
0.045,0.045,0.045,5.235327993291517e-05,0.11,0.11,0.11,0.0716353300127781,0.09360487888880833,0.07603179087751155,0.09320673390382482,0.07621448403113028,0.08790092039680864,0.07521360744657415,0.053128411259233885,0.031570254357662524
0.04,0.04,0.04,-0.000521104742053,0.11,0.11,0.11,0.0716353300127781,0.09410095298203028,0.06888272955699218,0.09640568972880272,0.06971391787991894,0.08873045449740921,0.0694949284989111,0.05612987502737096,0.0289101674949486
0.04,0.04,0.04,0.0,0.11,0.11,0.11,0.0716353300127781,0.09581997044513393,0.06577874523625327,0.0972425663091106,0.06737218916335817,0.09070760597478127,0.06681297664506015,0.06023791774315882,0.027721085524885156
0.045,0.045,0.045,0.0045861997081508,0.11,0.11,0.11,0.0716353300127781,0.09371894969020887,0.06631119467406689,0.09500467431766238,0.06759994266956768,0.08939400787932558,0.067109000868755,0.0567727433476876,0.027885651906002968
0.05,0.05,0.05,0.0052356020942407,0.11,0.11,0.11,0.0716353300127781,0.10137591678736194,0.07112938998550615,0.10277891966187137,0.07278780498218582,0.09902443660235122,0.07202220629513198,0.06652376493193014,0.03283152468406764
0.045,0.045,0.045,0.0049232853161061,0.11,0.11,0.11,0.0716353300127781,0.11611242119048783,0.07141740771218426,0.11755046871596575,0.07323675368351504,0.11424647664349799,0.07202220629513198,0.08312132426647513,0.033005243543206025
0.045,0.045,0.045,0.0052083333333331,0.105,0.105,0.105,0.0672468148302545,0.11669875823303721,0.07660331348058562,0.11885688678616564,0.07642646125655325,0.11435764775028832,0.07800812568836443,0.08139530686077508,0.03823838637438044
0.05,0.05,0.05,0.0104166666666665,0.1,0.1,0.1,0.0623779137908581,0.13226116861564266,0.08698956959940442,0.13256653858020828,0.08486204996518174,0.12951917559435713,0.08736735661791924,0.0971245896984506,0.04933417809112592
0.055,0.055,0.055,0.0104712041884816,0.1,0.1,0.1,0.0597330686656045,0.11458720689713811,0.08436837022320182,0.11611618257533952,0.08311565489557968,0.11162661101165673,0.08435433475665652,0.08008613388192831,0.04740632235982538
0.05,0.05,0.05,0.0101073252057934,0.1,0.1,0.1,0.0592908097938279,0.09597312501361203,0.07176937239173736,0.09624170620794713,0.0716946102554427,0.0933931772590132,0.07195475906515292,0.06211919875662263,0.032585908946628224
0.045,0.045,0.045,0.0052083333333331,0.085,0.085,0.085,0.0464776990412673,0.07861804099589192,0.06626335422629127,0.08050416138796467,0.06686837371977751,0.07712541139270435,0.0656375311814618,0.04423629023619228,0.025709234827829944
0.045,0.045,0.045,0.0046899426784784,0.065,0.065,0.065,0.0260416666666666,0.08953156284345563,0.06662374372363129,0.0904935471673064,0.06816211831373131,0.08502943428794064,0.06647850963281747,0.053751288207570316,0.028008846811199764
0.05,0.05,0.05,0.0052356020942407,0.055,0.055,0.055,0.0137758296806512,0.0848722820243116,0.06805540657495351,0.08744703044833003,0.06888526153326091,0.0824560053136038,0.06815837375297291,0.0489079592654619,0.02977011859342987
0.045,0.045,0.045,0.0045343201125763,0.045,0.045,0.045,0.0005494361738311,0.07993220257574464,0.07517960936779872,0.08052891216022702,0.07528298915893286,0.07975243433949687,0.07569638210916094,0.043855609922894605,0.03512138236530823
0.04,0.04,0.04,0.0,0.04,0.04,0.04,-0.000573245088332,0.06477455052963739,0.05862579214607155,0.0650226783914299,0.061619112054339904,0.06355284014951063,0.05905910328432157,0.023122077794759676,0.017840213432769262
0.04,0.04,0.04,-0.0014604631754639,0.04,0.04,0.04,0.0,0.06971575371806027,0.05633710565530765,0.0675260410751211,0.05982725773320457,0.06503723754342836,0.05619283997527855,0.02897523793777432,0.015269737673077639
0.045,0.045,0.045,0.0008892608672907,0.04,0.04,0.04,-0.0012776720294125,0.07210345074846185,0.06503941412226867,0.07109436947565217,0.0675449973448269,0.06741550017052857,0.06584128593377314,0.029993990769751847,0.027031357729062757
0.04,0.04,0.04,-0.0005993172994243,0.045,0.045,0.045,5.235327993291517e-05,0.08465421275409873,0.06441463952146477,0.08460931316583666,0.06776619253994662,0.08139287124893738,0.06521079469783561,0.043095827198463596,0.026616912797497564
0.04,0.04,0.04,1.1102230246251563e-16,0.04,0.04,0.04,-0.000521104742053,0.07545201061564015,0.06551759009898432,0.07502155295382186,0.06799394604615612,0.07241268943171547,0.06550681892153046,0.03552335486861621,0.025963708977504617
0.04,0.04,0.04,-0.0023492560689113,0.04,0.04,0.04,0.0,0.07377244555696602,0.054903945053155725,0.07411231641278976,0.060538262960757906,0.07063063749896456,0.056140818906366304,0.03254326714090182,0.01794067919109377
0.045,0.045,0.045,0.0015682174594877,0.045,0.045,0.045,0.0045861997081508,0.06606874554829904,0.05675221202497433,0.06816158151983608,0.0591668812906516,0.06558867105130708,0.056652897926131304,0.025291201189626935,0.017999229752105005
0.04,0.04,0.04,-0.0004429044108067,0.05,0.05,0.05,0.0052356020942407,0.0657292102313939,0.05810313924579686,0.06602670307247716,0.06002651868006536,0.06717004530924077,0.059302074723417995,0.02764334806438756,0.021012660317933946
0.04,0.04,0.04,-7.813110399257361e-05,0.045,0.045,0.045,0.0049232853161061,0.06512570462231328,0.062210832842753465,0.06550697120329549,0.06179031264290983,0.06739222298033759,0.06342893092088583,0.026589993246268005,0.024179814916368163
0.04,0.04,0.04,-0.0026371445729653,0.045,0.045,0.045,0.0052083333333331,0.06383548612741506,0.05917193090750022,0.06410844009696168,0.06066408979503613,0.0658461441861736,0.05916828438713747,0.027635855144248395,0.021826751424973576
0.045,0.045,0.045,0.0017247687241939,0.05,0.05,0.05,0.0104166666666665,0.06032184878152743,0.05541537265351973,0.06062733514167187,0.056633681181521796,0.061241456699539495,0.054137504483244336,0.02195912364334142,0.01601167373521014
0.04,0.04,0.04,-0.0002344299445182,0.055,0.055,0.055,0.0104712041884816,0.05974798107517989,0.0640899076653149,0.05904805916654027,0.06500650784918395,0.0600142668194942,0.06369868710617438,0.016993153338695832,0.025324299063981284
0.045,0.045,0.045,0.0050787863002996,0.05,0.05,0.05,0.0101073252057934,0.06816188200769967,0.09479512524915326,0.06852227395357556,0.09465361538680074,0.06808808869984516,0.09357253044144777,0.02781568705073688,0.058118336778203245
0.045,0.045,0.045,0.0021941280952877,0.045,0.045,0.045,0.0052083333333331,0.0706179981361749,0.1020242013802418,0.0706459197952674,0.10013627840000688,0.07026223616867745,0.09966513403232755,0.028952931400396453,0.06289103312893696
0.055,0.055,0.055,0.0127712920159838,0.045,0.045,0.045,0.0046899426784784,0.06600077028088015,0.09429111542987723,0.06761586329886649,0.09733343060041395,0.06675851649270154,0.09292718804232804,0.025794297303361784,0.05861054185614737
